employees,17,,mand,29
mandate,14,,stat,27
health,14,,employ,18
coronavirus,12,,heal,14
antifa,9,,med,13
mandates,8,,work,12
states,8,,coronavir,12
covid19,8,,refus,11
workers,8,,protest,11
unvaccinated,8,,exempt,10
religious,8,,attack,10
medical,7,,job,9
attack,7,,antif,9
lose,6,,covid19,8
mandatory,6,,unvaccin,8
media,6,,religy,8
lives,6,,milit,8
fauci,6,,comply,7
militants,6,,requir,6
discharge,6,,warn,6
jobs,5,,shot,6
exemption,5,,fauc,6
,,,reject,5
,,,forc,5
,,,bad,5
,,,extrem,5
,,,vir,5
